,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
12545,12545,RMJ084749.1+345323.8,131.9544662834017,34.88993989776975,41.55876,-1.0
12547,12547,RMJ013848.1+195439.0,24.70028779291931,19.910833472844292,67.44646,0.6278938000000001
12548,12548,RMJ133339.3+214822.1,203.4135808502076,21.80612513276327,40.353621999999994,-1.0
12549,12549,RMJ111024.9+451820.8,167.6038191241719,45.30577083762904,39.499344,-1.0
12550,12550,RMJ001130.7-035529.6,2.877863145000496,-3.924877083111204,41.66555,-1.0
12552,12552,RMJ220011.5+183728.9,330.04801368590637,18.624693745224896,56.56965600000001,0.47374356
12553,12553,RMJ123011.0+033748.2,187.54563056482743,3.6300688693952825,31.002321000000002,0.32946953
12556,12556,RMJ155450.3+122724.0,238.70968958841863,12.4566706378166,35.80764,0.36809066
12557,12557,RMJ080931.5+550537.6,122.38134944696728,55.093769629658496,35.334732,-1.0
12563,12563,RMJ104229.0+054024.5,160.62084591076285,5.673465630241518,47.69126,-1.0
12564,12564,RMJ120043.0+422332.0,180.17918088506957,42.39222968825101,34.694023,0.36932278
12565,12565,RMJ105335.2+553821.6,163.39667232331453,55.639329810518255,41.72657,-1.0
12569,12569,RMJ010839.1+062520.3,17.163039386029993,6.422306595059703,77.0876,-1.0
12575,12575,RMJ120513.2+370421.4,181.3049340286904,37.07261429652103,34.571983,-1.0
12576,12576,RMJ130728.1+524011.9,196.86699107523444,52.669959121989905,41.635040000000004,-1.0
12578,12578,RMJ155223.6+614000.4,238.0982299578195,61.66678675426426,74.646805,-1.0
12579,12579,RMJ102407.2+161832.0,156.0301423297814,16.308888110293644,59.57489,0.59678
12580,12580,RMJ124715.5+073704.3,191.81469915618527,7.617866444946267,40.490913,-1.0
12582,12582,RMJ014412.8+132134.9,26.05339399317296,13.35968855617685,55.547577000000004,-1.0
12585,12585,RMJ000853.4+340542.7,2.2224074728067653,34.095192037739224,80.825066,-1.0
12586,12586,RMJ100418.0+453400.7,151.07502728252345,45.56686254927065,46.165764,0.5021295
12587,12587,RMJ223855.7+095303.2,339.7319112513801,9.884221662006476,41.71131,-1.0
12589,12589,RMJ141430.1+515616.5,213.62543706693745,51.93790990626791,32.329506,0.28910196
12590,12590,RMJ223747.3+262949.2,339.4471700574628,26.496991942922946,30.712477000000003,-1.0
12593,12593,RMJ014941.9+045711.5,27.424787721291523,4.953188012509423,49.659157,0.47830755
12595,12595,RMJ155047.7+394433.1,237.69855498994758,39.742519371850406,53.54917,0.47860816
12596,12596,RMJ004229.8+271521.9,10.624114547845297,27.256086126201183,45.662354,-1.0
12601,12601,RMJ075233.2+333358.2,118.13841231741979,33.5661732233846,91.38150999999999,0.51574874
12602,12602,RMJ014201.6+291601.1,25.506701986688427,29.26696057068443,30.132788,-1.0
12603,12603,RMJ224411.0+152159.1,341.04595758137475,15.366407139882432,48.850640000000006,-1.0
12607,12607,RMJ020350.2+325022.2,30.958982848997326,32.83949156601083,53.3356,-1.0
12608,12608,RMJ125518.3+191754.5,193.82611451797425,19.298458816576847,56.615425,-1.0
12609,12609,RMJ105016.4+172045.4,162.5684622535586,17.345938112472293,32.741386,-1.0
12612,12612,RMJ225723.4+180033.3,344.3473583627426,18.00925039220495,45.860664,-1.0
