,Unnamed: 0,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
9791,13703,RMJ001810.4+074645.2,4.543376190433719,7.779216286135436,0.45399788,54.067840000000004,2.005763,-1.0,0.0,23.791037,21.090225,19.420559,18.685670000000002,18.492811,25.03351
9794,13706,RMJ111553.5+561134.2,168.97275821825468,56.19283245423254,0.47022453,54.998398,1.5652925,0.4522318,0.0,22.320135,21.141119,19.374912,18.559978,18.111832,36.613777
9795,13708,RMJ110842.4+302357.1,167.17687396228428,30.39919606975717,0.47319305,50.406647,1.7115068,0.48108652,0.0,21.882376,20.821959,19.08907,18.196198000000003,17.643297,28.723817999999998
9798,13713,RMJ105140.7+514215.9,162.91969282413132,51.70441355078931,0.47220394,50.818535,1.6161763999999998,-1.0,0.0,26.280525,21.41019,19.571455,18.689747,18.227942000000002,28.640177
9805,13723,RMJ224442.6+041029.6,341.17737837498174,4.174882532316018,0.49048343,50.467667,1.9931362000000001,-1.0,0.0,22.322042,22.001556,20.190697,19.26118,18.756334,27.06185
9806,13725,RMJ020401.9+065908.5,31.00799137309502,6.9856929404446175,0.49473959999999995,53.83902,2.1230552000000005,-1.0,0.0,22.511882999999997,21.335651000000002,19.725765,18.829039,18.33786,30.790909000000003
9807,13727,RMJ141101.8+340152.3,212.75737100402682,34.03119002918418,0.53753585,54.29667,2.1429672,0.5090781,0.0,23.432695000000002,20.805283,19.097948000000002,18.13994,17.68974,37.383379999999995
9809,13731,RMJ090353.8+064646.2,135.97423678773183,6.779501266018634,0.5681614,81.35899,3.152776,0.5732593,0.0,27.585659000000003,21.292095,19.781760000000002,18.680023000000002,18.214838,46.962703999999995
9811,13734,RMJ134644.1+395002.2,206.68379869868323,39.833939985969465,0.53381306,51.337204,2.1819740000000003,0.5221219,0.0,23.317226,21.379625,19.810548999999998,18.818369,18.442558,34.354397
9823,13758,RMJ125911.3+490513.3,194.79693046890893,49.087017059979964,0.5505876000000001,69.658424,2.2953742000000004,-1.0,0.0,22.956093,21.55732,20.203395999999998,19.458023,18.900524,37.010197
9831,13773,RMJ082735.9+294660.0,126.89960247739168,29.78333018860797,0.49988744,56.432365000000004,2.0679002,0.4871374,0.0,25.340815,22.201035,19.668085,18.686766,18.273020000000002,28.887102000000002
9835,13779,RMJ230748.5-062229.3,346.9521071314816,-6.374797070769933,0.5484977,78.88769,2.9644804,-1.0,0.0,25.380753,23.067829999999997,20.83071,19.914831,19.246029999999998,32.383022
