,0
636,0.4357488447705794
637,0.8122520304790524
638,0.6714209275077623
639,0.42026401066222363
640,0.7601067329026044
641,0.8531473349985641
642,0.557249393619771
643,0.49399722754829445
644,0.4378039248111949
645,0.7822914074771645
646,0.641037293491918
647,0.3367766613107489
648,0.9648188168517756
649,0.9699259492435425
650,0.7660108951189278
651,0.7556379427058137
652,0.8459092522923384
653,0.9682523812519683
654,0.7352614744244056
655,0.32279913095597734
656,0.2695160235088036
657,0.7507424801499308
658,0.8749481240697065
659,0.6622590683108257
660,0.8353928436326183
661,0.930655405805517
662,0.5118866988617783
663,0.7567468109997092
664,0.1322255486931466
665,0.6684994406337865
666,0.2115177353795651
667,0.5304753076447145
668,0.5324757999406028
669,0.9688721978953202
670,0.9217936022536818
671,0.3147993819168449
672,0.9562254536535099
673,0.04366490111430999
674,0.8298444300139487
675,0.6976933634742364
676,0.9989634302050306
677,0.5408220653084509
678,0.6216233438245878
679,0.7477339253881709
680,0.7211225652493037
