,MCXC,OName,AName,RAdeg,z,M500
1283,J1658.5+3430,BVH2007 209       ,VMF98 187                                             ,254.641,0.33,2.1019
1284,J1659.0+3229,BVH2007 NS 20     ,                                                      ,254.759,0.0621,0.3038
1285,J1659.6+6826,RXC J1659.6+6826  ,                                                      ,254.904,0.0504,0.5062
1286,J1659.7+3410,RX J1659.7+3410   ,VMF98 188                                             ,254.936,0.341,1.0776
1287,J1659.7+3236,RXC J1659.7+3236  ,"A2241,B                                               ",254.936,0.1013,2.0454
1288,J1700.7+6412,RXC J1700.7+6412  ,A2246                                                 ,255.195,0.225,2.4797
1289,J1700.8-3144,RXC J1700.8-3144  ,                                                      ,255.223,0.134,2.0331
1291,J1701.4+3400,BVH2007 NS 21     ,                                                      ,255.366,0.096,0.545
1292,J1701.7+6421,RX J1701.7+6421   ,VMF98 191                                             ,255.442,0.22,0.363
1293,J1702.2+6419,RX J1702.2+6420   ,VMF98 192                                             ,255.555,0.224,0.5305
1294,J1702.5+3330,A2245             ,A2245                                                 ,255.633,0.0843,1.2416
1296,J1703.1+5938,WARP J1703.1+5938 ,                                                      ,255.789,0.1822,0.3926
1298,J1705.1-8210,RXCJ1705.1-8210   ,S0792                                                 ,256.293,0.0737,1.8148
1299,J1705.9-7422,RXC J1705.9-7422  ,                                                      ,256.492,0.19,3.1961
1302,J1711.0+3941,RXC J1711.0+3941  ,A2250                                                 ,257.762,0.0647,1.0182
1303,J1712.4-2321,RXC J1712.4-2321  ,Ophiuchus                                             ,258.103,0.028,5.3123
1305,J1714.3+4341,RXC J1714.3+4341  ,NGC 6329                                              ,258.578,0.0276,0.3136
1308,J1715.8+3656,WARP J1715.8+3656 ,                                                      ,258.969,0.091,0.1532
1309,J1716.1+2021,ZwCl8182          ,ZwCl8182                                              ,259.043,0.1306,2.2601
1310,J1716.6+6410,RX J1716.6+6410   ,                                                      ,259.165,0.2507,1.3161
1312,J1717.6+3627,RXC J1717.6+3627  ,                                                      ,259.4,0.1709,1.8713
1316,J1718.1+7801,RXC J1718.1+7801  ,A2271                                                 ,259.542,0.0584,1.1041
1320,J1721.4+6733,RX J1721.4+6733   ,                                                      ,260.353,0.0861,0.1995
1321,J1722.2+3042,RXC J1722.2+3042  ,CGCG170-018                                           ,260.562,0.05,0.3634
1323,J1722.9+4105,BVH2007 212       ,VMF98 193                                             ,260.725,0.309,1.7916
1324,J1723.3+5658,RXC J1723.3+5658  ,NGC 6370                                              ,260.847,0.0272,0.2287
1326,J1724.1+7000,RX J1724.1+7000   ,                                                      ,261.048,0.0386,0.0957
1327,J1724.2+6956,RX J1724.2+6956   ,                                                      ,261.067,0.0386,0.1004
1328,J1724.7+6716,RX J1724.7+6716   ,                                                      ,261.197,0.254,0.6962
1329,J1726.9-0317,RXC J1726.9-0317  ,                                                      ,261.744,0.088,1.8664
1331,J1728.6+7041,RX J1728.6+7041   ,                                                      ,262.165,0.5509,2.8569
1332,J1729.0+7440,BVH2007 213       ,VMF98 194                                             ,262.253,0.213,0.8885
1333,J1730.4+7422,RXC J1730.4+7422  ,                                                      ,262.621,0.11,1.1791
1335,J1733.0+4345,RXC J1733.0+4345  ,IC 1262                                               ,263.261,0.0307,0.8593
1336,J1735.0+6406,RXC J1735.0+6406  ,A2276                                                 ,263.772,0.1406,1.8453
1337,J1735.7-0721,RXC J1735.7-0721  ,                                                      ,263.949,0.0239,0.6151
1338,J1735.9+1659,RXC J1735.9+1659  ,                                                      ,263.976,0.0858,1.0113
1339,J1736.3+6803,RXC J1736.3+6803  ,Zw 1745.6+6703                                        ,264.092,0.0248,0.2392
1340,J1740.5+3538,RXC J1740.5+3538  ,RXJ1740.5+3539                                        ,265.136,0.0428,0.9141
1341,J1742.7+6735,RX J1742.7+6735   ,                                                      ,265.695,0.042,0.2165
1342,J1742.8+3900,RXC J1742.8+3900  ,                                                      ,265.701,0.0423,0.7743
1343,J1743.3+6440,RX J1743.3+6440   ,                                                      ,265.847,0.179,1.0301
1344,J1743.4+6341,RX J1743.4+6341   ,                                                      ,265.867,0.327,2.3779
1346,J1745.2+6556,RX J1745.2+6556   ,                                                      ,266.318,0.608,1.3891
1347,J1746.3+6849,WARP J1746.3+6849W,VMF98 195                                             ,266.579,0.203,0.7767
1348,J1746.5+6848,WARP J1746.3+6849E,VMF98 195                                             ,266.638,0.307,0.7791
1349,J1746.7+6639,RX J1746.7+6639   ,                                                      ,266.688,0.3864,1.0307
1351,J1747.5+6343,RX J1747.5+6343   ,                                                      ,266.89,0.328,1.2009
1352,J1748.6+7020,RX J1748.6+7020   ,                                                      ,267.173,0.345,1.1852
1353,J1749.0+7014,RX J1749.0+7014   ,                                                      ,267.265,0.579,2.6983
1354,J1749.3+4245,RXC J1749.3+4245  ,                                                      ,267.341,0.2296,2.5705
1355,J1749.6+5334,RXC J1749.6+5334  ,                                                      ,267.422,0.0909,1.0459
1356,J1749.8+6823,RX J1749.8+6823   ,                                                      ,267.457,0.0508,0.1182
1358,J1751.1+6531,BVH2007 215       ,NGC6505                                               ,267.786,0.0428,0.1943
1359,J1751.5+7013,RX J1751.5+7013   ,                                                      ,267.878,0.4925,1.633
1360,J1751.6+6719,BVH2007 216       ,                                                      ,267.911,0.0933,0.6135
1361,J1751.7+2304,RXC J1751.7+2304  ,NGC 6482                                              ,267.948,0.0132,0.1879
1363,J1752.2+6522,RX J1752.2+6522   ,                                                      ,268.05,0.3923,0.8809
1364,J1753.4+5205,RXC J1753.4+5205  ,A2286                                                 ,268.374,0.0988,0.9785
1366,J1754.0+6452,RX J1754.0+6452   ,                                                      ,268.522,0.246,0.5881
1367,J1754.5+6904,RX J1754.5+6904   ,                                                      ,268.646,0.5113,1.2281
1369,J1754.7+6623,RX J1754.7+6623   ,                                                      ,268.69,0.0879,0.2551
1370,J1755.3+6504,RX J1755.3+6504   ,                                                      ,268.833,0.0846,0.1998
1371,J1755.7+6752,RX J1755.7+6752   ,                                                      ,268.94,0.0833,0.6477
1372,J1755.8+6236,RXC J1755.8+6236  ,NGC 6521                                              ,268.956,0.0266,0.3104
1373,J1755.9+6314,RX J1755.9+6314   ,                                                      ,268.985,0.385,1.5159
1374,J1756.5+6513,RX J1756.5+6513   ,                                                      ,269.129,0.0284,0.0674
1375,J1757.3+6631,RX J1757.3+6631   ,                                                      ,269.332,0.6909,1.0879
1376,J1757.7-0108,RXC J1757.7-0108  ,                                                      ,269.43,0.0728,2.0762
1377,J1758.9+6520,RX J1758.9+6520   ,                                                      ,269.74,0.3652,0.6654
1378,J1759.0-1333,RXC J1759.0-1333  ,                                                      ,269.762,0.045,1.6325
1379,J1759.2+6902,RX J1759.2+6902   ,                                                      ,269.823,0.0994,0.2595
1380,J1800.5+6913,RXC J1800.5+6913  ,A2295                                                 ,270.128,0.0823,0.9997
1381,J1802.4-5236,RXC J1802.4-5236  ,                                                      ,270.622,0.125,2.9264
1382,J1802.7+4247,RXC J1802.7+4247  ,                                                      ,270.681,0.0502,0.4271
1383,J1802.9+6339,RX J1802.9+6339   ,                                                      ,270.725,0.0907,0.1563
1385,J1804.2+6729,RX J1804.2+6729   ,                                                      ,271.065,0.0617,0.078
1387,J1806.1+6813,RX J1806.1+6813   ,                                                      ,271.527,0.303,1.2736
1388,J1806.4+7028,RX J1806.4+7028   ,                                                      ,271.604,0.0971,0.4665
1389,J1806.9+6537,BVH2007 217       ,                                                      ,271.733,0.263,2.0634
1390,J1807.4+6946,BVH2007 218       ,                                                      ,271.867,0.0941,0.2978
1391,J1807.5+6429,RX J1807.5+6429   ,                                                      ,271.885,0.2391,0.5906
1392,J1808.7+6557,RX J1808.7+6557   ,                                                      ,272.182,0.246,0.5266
1393,J1809.0-0414,RXC J1809.0-0414  ,                                                      ,272.255,0.305,6.3125
1395,J1811.3+6447,RX J1811.3+6447   ,                                                      ,272.83,0.451,1.5373
1396,J1812.0+3113,WARP J1812.0+3113 ,                                                      ,273.007,0.2246,0.6464
1397,J1812.1+6353,RX J1812.1+6353   ,                                                      ,273.035,0.5408,2.0796
1398,J1813.1+6230,RX J1813.1+6230   ,                                                      ,273.298,0.1829,0.6347
1400,J1814.2+6939,RXC J1814.2+6939  ,A2301                                                 ,273.574,0.0863,0.6951
1402,J1816.5+6911,RX J1816.5+6911   ,                                                      ,274.135,0.2097,0.6573
1403,J1817.1+7024,RX J1817.1+7024   ,                                                      ,274.285,0.0859,0.304
1404,J1817.7+6824,RX J1817.7+6824   ,                                                      ,274.442,0.282,2.5934
1405,J1819.1+6909,BVH2007 219       ,                                                      ,274.792,0.205,1.0729
1406,J1819.8+6748,RX J1819.8+6748   ,                                                      ,274.953,0.2153,0.6833
1407,J1819.8+3307,RXC J1819.8+3307  ,                                                      ,274.967,0.2796,2.9785
1408,J1820.1+6857,RXC J1820.1+6857  ,A2304                                                 ,275.044,0.087,1.0767
1409,J1821.6+6827,RX J1821.6+6827   ,                                                      ,275.409,0.8156,2.1004
1410,J1822.6+6641,RX J1822.6+6641   ,                                                      ,275.656,0.0888,0.2571
1411,J1823.7+5658,BVH2007 220       ,                                                      ,275.931,0.105,0.4915
1412,J1824.1+3029,RXC J1824.1+3029  ,NPM1G +30.0453                                        ,276.04,0.072,1.4197
1413,J1824.3+4309,MACSJ1824.3+4309  ,MCS  J1824.3+4309                                     ,276.079,0.487,2.8469
1415,J1827.2+6134,RXC J1827.2+6134  ,                                                      ,276.817,0.1014,1.1746
1416,J1829.0+6913,RX J1829.0+6913   ,                                                      ,277.265,0.2057,2.0829
1417,J1832.2+6832,RX J1832.2+6832   ,                                                      ,278.055,0.1981,0.8186
1419,J1832.5+6848,RXC J1832.5+6848  ,                                                      ,278.144,0.205,3.8795
1420,J1833.7+6521,RX J1833.7+6521   ,                                                      ,278.436,0.1621,0.8494
1421,J1834.1+7057,RXC J1834.1+7057  ,A2308                                                 ,278.539,0.0824,1.0583
1422,J1836.5+6344,RXJ1836.5+6344    ,RXJ1836.5+6344                                        ,279.127,0.0834,1.2909
1423,J1838.2+6321,RX J1838.2+6321   ,                                                      ,279.552,0.2167,1.3402
1424,J1839.2+7018,RX J1839.2+7018   ,                                                      ,279.823,0.2297,0.8067
1425,J1839.8-2108,RXC J1839.8-2108  ,                                                      ,279.973,0.068,1.3613
1426,J1840.6-7709,RXCJ1840.6-7709   ,                                                      ,280.155,0.0194,0.541
1427,J1843.5+7949,BVH2007 NS 23     ,MS1846.9+7947                                         ,280.878,0.051,0.2291
1428,J1843.6+5021,RXC J1843.6+5021  ,                                                      ,280.913,0.1158,1.6858
1429,J1844.0+4533,RXC J1844.0+4533  ,RXJ1844.1+4533                                        ,281.008,0.0918,1.5813
1430,J1844.5-3724,RXC J1844.5-3724  ,CGMW 4-2867                                           ,281.132,0.203,3.7241
1431,J1846.7-7431,BVH2007 221       ,                                                      ,281.678,0.141,0.9689
1436,J1854.1+6858,RXC J1854.1+6858  ,                                                      ,283.527,0.2415,2.9137
1440,J1904.2+3626,RXC J1904.2+3626  ,MG2 J190411+3627                                      ,286.055,0.078,1.2366
1441,J1905.7+7804,A2318             ,A2318                                                 ,286.433,0.1405,3.437
1443,J1910.1-2239,RXC J1910.1-2239  ,CGMW 3-3366                                           ,287.537,0.056,1.0468
1447,J1917.5-1315,RXC J1917.5-1315  ,TXS 1914-133                                          ,289.399,0.177,4.1139
1448,J1918.5-0842,RXC J1918.5-0842  ,CGMW 3-3640                                           ,289.631,0.09,1.5296
1450,J1925.3+3705,RXC J1925.3+3705  ,                                                      ,291.343,0.314,6.7932
1451,J1925.4-4256,RXCJ1925.4-4256   ,A3638                                                 ,291.373,0.0774,1.8585
1453,J1926.9-5342,RXCJ1926.9-5342   ,                                                      ,291.743,0.057,1.4895
1454,J1927.5+6549,RXC J1927.5+6549  ,                                                      ,291.876,0.1886,2.3064
1455,J1928.2-5055,RXCJ1928.2-5055   ,A3639                                                 ,292.059,0.1496,2.8527
1457,J1930.1+7403,WARP J1930.5+7403W,                                                      ,292.548,0.291,0.9863
1458,J1931.6-3354,RXCJ1931.6-3354   ,                                                      ,292.911,0.0972,2.3806
1463,J1938.3-4748,RXCJ1938.3-4748   ,                                                      ,294.581,0.2665,4.8355
1464,J1941.7+7709,WARP J1941.2+7709E,                                                      ,295.429,0.048,0.0751
1465,J1946.5-4256,RXCJ1946.5-4256   ,S0827                                                 ,296.643,0.1128,1.8573
1467,J1947.6-0542,RXC J1947.6-0542  ,CGMW 3-4849                                           ,296.914,0.028,0.3693
1471,J1957.2+5751,RXC J1957.2+5751  ,ZwCl 1956.0+5746                                      ,299.308,0.088,1.6906
1472,J1958.2-3011,RXCJ1958.2-3011   ,                                                      ,299.561,0.1171,4.1184
1474,J1959.5+4044,RXC J1959.5+4044  ,Cygnus A                                              ,299.876,0.0561,4.2185
1475,J2002.6+7753,WARP J2002.6+7753 ,                                                      ,300.66,0.3492,2.4943
1476,J2003.2-3247,BVH2007 222       ,                                                      ,300.805,0.256,1.3585
1477,J2003.4-5556,BVH2007 223       ,"VMF98 196, S0840                                      ",300.868,0.0148,0.0652
1479,J2009.0-5421,RXCJ2009.0-5421   ,S0849                                                 ,302.267,0.0516,0.772
1480,J2009.9-4823,RXCJ2009.9-4823   ,S0851                                                 ,302.476,0.0097,0.1374
1481,J2009.9+7744,WARP J2009.9+7744 ,                                                      ,302.476,0.3461,1.2647
1482,J2011.3-5725,RXCJ2011.3-5725   ,                                                      ,302.846,0.2786,5.1735
1483,J2011.8-3555,BVH2007 224       ,                                                      ,302.972,0.172,0.785
1488,J2015.3+5609,RXC J2015.3+5609  ,                                                      ,303.828,0.082,1.5725
1489,J2016.2-8047,RXCJ2016.2-8047   ,A3666                                                 ,304.059,0.1309,2.249
1490,J2018.4-4102,RXCJ2018.4-4102   ,IC4992                                                ,304.607,0.0192,0.2804
1492,J2020.8-3002,RXCJ2020.8-3002   ,A3674                                                 ,305.208,0.2073,3.6611
1493,J2021.9-5256,RXCJ2021.9-5256   ,A3675                                                 ,305.478,0.1383,2.3826
1494,J2023.0-2056,RXCJ2023.0-2056   ,S0868                                                 ,305.757,0.0564,1.1821
1499,J2034.3-3429,RXCJ2034.3-3429   ,A3693                                                 ,308.581,0.124,2.4943
1502,J2034.9-2143,RXCJ2034.9-2143   ,                                                      ,308.733,0.1947,3.4979
1503,J2035.7-2513,RXCJ2035.7-2513   ,A3698                                                 ,308.935,0.02,0.2042
1504,J2036.6-2247,WARP J2036.6-2247 ,                                                      ,309.166,0.18,0.9472
1505,J2038.4-0125,RX J2038.4-0125   ,WARPS J2038.4-0125                                    ,309.622,0.673,1.8072
1507,J2041.7+0721,RXC J2041.7+0721  ,                                                      ,310.425,0.0639,0.4838
1508,J2042.1+2426,RXC J2042.1+2426  ,                                                      ,310.529,0.1019,3.8223
1509,J2043.2-2144,RXCJ2043.2-2144   ,                                                      ,310.803,0.2041,4.0556
1510,J2043.2-2629,RXCJ2043.2-2629   ,S0894                                                 ,310.81,0.0408,0.6927
1512,J2048.6+2515,RXC J2048.6+2515  ,                                                      ,312.172,0.0482,1.272
1516,J2051.6-5704,BVH2007 225       ,                                                      ,312.911,0.0599,0.1734
1518,J2056.3-0437,MS2053.7-0449     ,                                                      ,314.091,0.583,2.0962
1519,J2057.5+1334,RXC J2057.5+1334  ,                                                      ,314.389,0.2232,1.9567
1520,J2058.2-0745,RXCJ2058.2-0745   ,A2331                                                 ,314.563,0.0793,1.2723
1521,J2059.9-4245,RX J2059.9-4245   ,VMF98 199                                             ,314.98,0.323,1.0983
1522,J2101.4-4100,RXCJ2101.4-4100   ,S0915                                                 ,315.367,0.1694,2.9774
1523,J2101.5-1317,RXCJ2101.5-1317   ,                                                      ,315.395,0.0282,0.4473
1524,J2101.8-2802,RXCJ2101.8-2802   ,A3733                                                 ,315.453,0.0382,0.9229
1527,J2103.8+0437,RXC J2103.8+0437  ,                                                      ,315.961,0.1694,1.3241
1530,J2104.9-5149,RXCJ2104.9-5149   ,                                                      ,316.228,0.0491,1.3227
1531,J2104.9-8243,RXCJ2104.9-8243   ,A3728                                                 ,316.245,0.0969,1.5506
1533,J2106.2+3426,RXC J2106.2+3426  ,                                                      ,316.568,0.087,1.4955
1534,J2106.8-0509,RX J2106.8-0510   ,                                                      ,316.705,0.449,2.6117
1535,J2107.2-2526,RXCJ2107.2-2526   ,A3744                                                 ,316.801,0.0381,0.6763
1536,J2108.6-0507,WARP J2108.6-0507 ,                                                      ,317.166,0.222,0.4039
1537,J2108.8-0516,RX J2108.8-0516   ,VMF98 200                                             ,317.213,0.319,1.1
1538,J2111.6-2308,RXCJ2111.6-2308   ,AM2108                                                ,317.916,0.0333,0.3678
1540,J2114.3-6800,BVH2007 226       ,VMF98 201                                             ,318.582,0.13,0.6298
1541,J2116.8-5929,RXCJ2116.8-5929   ,S0927                                                 ,319.202,0.0602,1.0991
1542,J2124.3-7446,RXCJ2124.3-7446   ,                                                      ,321.095,0.0586,1.1736
1544,J2125.9-3443,RXCJ2125.9-3443   ,A3764                                                 ,321.479,0.0757,1.0787
1546,J2127.4-2154,MS2124.7-2206     ,                                                      ,321.875,0.113,1.3859
1550,J2133.4-7156,RXCJ2133.4-7156   ,                                                      ,323.351,0.0559,0.7945
1551,J2134.2-1328,RXCJ2134.2-1328   ,A2351                                                 ,323.569,0.0897,2.746
1553,J2137.1+0026,BVH2007 227       ,VMF98 202                                             ,324.279,0.0509,0.2117
1554,J2137.8-4251,BVH2007 228       ,A3791                                                 ,324.463,0.185,1.4187
1555,J2139.0-2333,BVH2007 NS 24     ,                                                      ,324.77,0.32,2.6267
1556,J2139.8-2228,RXCJ2139.8-2228   ,S0963                                                 ,324.966,0.0328,0.4378
1557,J2139.9-4305,RX J2139.9-4305   ,VMF98 203                                             ,324.994,0.376,1.0856
1558,J2140.2-2339,MACSJ2140.2-2339  ,MS2137.3-2353                                         ,325.063,0.313,4.7
1559,J2143.9-5637,RXCJ2143.9-5637   ,APMCC 699                                             ,325.993,0.0824,2.6504
1560,J2145.2+0344,MS2142.7+0330     ,                                                      ,326.31,0.239,1.5196
1562,J2146.0+0423,RX J2146.0+0423   ,VMF98 204                                             ,326.52,0.531,2.0147
1565,J2147.0-1019,RXCJ2147.0-1019   ,                                                      ,326.752,0.078,1.2325
1566,J2147.9-4600,RXCJ2147.9-4600   ,S0974                                                 ,326.981,0.0593,1.3764
1567,J2149.1-3041,RXCJ2149.1-3041   ,A3814                                                 ,327.281,0.1184,2.9219
1568,J2151.3-5521,RXCJ2151.3-5521   ,                                                      ,327.845,0.0385,0.5065
1569,J2151.4+1347,RXC J2151.4+1347  ,                                                      ,327.859,0.2076,3.1093
1571,J2152.2-1942,RXCJ2152.2-1942   ,A2384 (B)                                             ,328.059,0.0963,1.8696
1577,J2155.9+0109,RX J2155.9+0109   ,                                                      ,328.997,0.219,0.5977
1578,J2156.4+3318,RXC J2156.4+3318  ,                                                      ,329.103,0.078,2.734
1579,J2157.4-0747,RXCJ2157.4-0747   ,A2399                                                 ,329.357,0.0579,1.2033
1580,J2158.3-2006,RXCJ2158.3-2006   ,A2401                                                 ,329.584,0.057,0.8978
1582,J2158.5-0948,RXCJ2158.5-0948   ,A2402                                                 ,329.627,0.0809,1.787
1584,J2201.8-2226,RXCJ2201.8-2226   ,S0987                                                 ,330.462,0.0691,1.4571
1587,J2202.7-1902,RX J2202.7-1902   ,VMF98 205                                             ,330.687,0.438,1.1006
1588,J2203.8-2130,RXC J2203.8-2130  ,                                                      ,330.961,0.0732,0.9762
1593,J2212.6-1713,RX J2212.6-1713   ,VMF98 206                                             ,333.159,0.134,0.2437
1594,J2213.0-2753,RXCJ2213.0-2753   ,                                                      ,333.272,0.061,0.9258
1595,J2213.5-1656,BVH2007 229       ,VMF98 207                                             ,333.377,0.297,1.3207
1596,J2214.4-1701,RXC J2214.4-1701  ,A3847                                                 ,333.61,0.153,2.9383
1598,J2214.8+1350,RXC J2214.8+1350  ,RXJ2214.7+1350                                        ,333.72,0.0253,0.3154
1600,J2215.6+3718,RXC J2215.6+3718  ,NGC7242                                               ,333.925,0.019,0.4805
1601,J2216.2-0920,RXCJ2216.2-0920   ,A2428                                                 ,334.065,0.0825,2.4124
1605,J2218.2-0350,RXCJ2218.2-0350   ,MS2215                                                ,334.571,0.0901,2.6804
1607,J2218.6-0346,MS2216.0-0401     ,                                                      ,334.669,0.09,1.8693
1611,J2222.2-5235,BVH2007 231       ,A3870                                                 ,335.558,0.174,0.894
1614,J2224.7-5632,RXCJ2224.7-5632   ,S1020                                                 ,336.182,0.0355,0.4961
1615,J2225.8-0636,RXCJ2225.8-0636   ,A2442                                                 ,336.463,0.0897,1.9117
1617,J2226.1-4745,RXC J2226.1-4745  ,A3876                                                 ,336.544,0.113,1.2521
1619,J2227.4-4852,RXC J2227.4-4852  ,APMCC782                                              ,336.868,0.097,1.2756
1620,J2227.8-3034,RXCJ2227.8-3034   ,A3880                                                 ,336.969,0.0579,1.7896
1622,J2228.8-6053,RXCJ2228.8-6053   ,                                                      ,337.214,0.0423,0.64
1623,J2229.7-2755,MACSJ2229.7-2755  ,MCS  J2229.8-2756                                     ,337.439,0.324,4.7366
1627,J2237.0-1516,RX J2237.0-1516   ,                                                      ,339.253,0.299,1.7713
1628,J2239.2-1719,RXC J2239.2-1719  ,A2462                                                 ,339.818,0.0751,0.8395
1629,J2239.4-0546,BVH2007 232       ,"VMF98 208, A2465                                      ",339.852,0.242,1.1816
1630,J2239.5-0600,RX J2239.5-0600   ,VMF98 209                                             ,339.893,0.173,0.3678
1631,J2239.6-0543,BVH2007 233       ,"VMF98 210, A2465                                      ",339.912,0.243,1.4808
1633,J2242.8+5301,RXC J2242.8+5301  ,                                                      ,340.721,0.192,4.0116
1637,J2245.0+2637,RXC J2245.0+2637  ,RXC  J2245.0+2637                                     ,341.271,0.304,5.5615
1638,J2246.1-3600,RXC J2246.1-3600  ,                                                      ,341.549,0.0673,0.7013
1640,J2247.4+0337,BVH2007 234       ,VMF98 211                                             ,341.873,0.2,0.9718
1643,J2249.2-3727,RXC J2249.2-3727  ,S1065                                                 ,342.323,0.0289,0.307
1645,J2250.0+1137,RXJ2250.0+1137    ,RXJ2250.0+1137                                        ,342.523,0.0255,0.3203
1647,J2250.8-4521,RXC J2250.8-4521  ,S1067                                                 ,342.704,0.0511,0.5167
1649,J2251.7-3206,RXCJ2251.7-3206   ,                                                      ,342.948,0.246,4.8409
1653,J2257.8+2056,RX J2257.8+2056   ,VMF98 212                                             ,344.456,0.297,0.9917
1654,J2258.1+2055,BVH2007 235       ,"VMF98 213, MS2255.7+2039                              ",344.53,0.288,2.3105
1655,J2300.2+2926,RXC J2300.2+2926  ,                                                      ,345.058,0.0688,0.9868
1656,J2302.7+7137,RXC J2302.7+7137  ,                                                      ,345.688,0.145,3.4383
1657,J2302.8+0843,WARP J2302.8+0843 ,                                                      ,345.7,0.722,1.7926
1658,J2303.7+1523,MS2301.3+1506     ,ZwCl8822                                              ,345.943,0.247,2.4573
1659,J2305.4-3545,BVH2007 236       ,VMF98 214                                             ,346.357,0.201,0.7738
1660,J2305.4-5130,RX J2305.4-5130   ,VMF98 215                                             ,346.361,0.194,0.3373
1661,J2305.5-4513,RXCJ2305.5-4513   ,A3970                                                 ,346.394,0.1253,2.4926
1662,J2306.5-1319,RXCJ2306.6-1319   ,                                                      ,346.65,0.0659,1.3931
1663,J2306.8-1324,RXC J2306.8-1324  ,                                                      ,346.715,0.0659,1.0851
1665,J2307.2-1513,RXCJ2307.2-1513   ,A2533                                                 ,346.814,0.111,2.4769
1666,J2307.6+2716,RXC J2307.6+2716  ,                                                      ,346.917,0.11,1.1624
1669,J2311.1+1137,RXC J2311.1+1137  ,                                                      ,347.788,0.261,3.0933
1672,J2312.7+1043,WARP J2312.7+1043 ,RX J231242.9+104302 (RIXOS)                           ,348.178,0.31,1.3017
1673,J2313.0-2137,RXCJ2313.0-2137   ,A2556                                                 ,348.254,0.0871,2.4758
1675,J2313.9+1444,A2561             ,A2561                                                 ,348.499,0.1627,2.6851
1677,J2315.7-0222,RXCJ2315.7-0222   ,NGC 7556                                              ,348.938,0.0267,0.5841
1678,J2316.1-2027,RXCJ2316.1-2027   ,A2566                                                 ,349.031,0.0822,2.1731
1680,J2318.0-4235,BVH2007 237       ,VMF98 216                                             ,349.523,0.209,0.8129
1681,J2318.4+1843,A2572b            ,A2572b                                                ,349.612,0.0389,1.0268
1682,J2318.5+1842,RXC J2318.5+1842  ,A2572                                                 ,349.632,0.0403,1.0206
1683,J2318.6+4257,RXC J2318.6+4257  ,                                                      ,349.664,0.0174,0.6152
1684,J2319.1-4206,MS2316.3-4222     ,S1111                                                 ,349.775,0.045,2.4403
1685,J2319.2-6750,RXCJ2319.2-6750   ,A3990                                                 ,349.8,0.0286,0.3126
1686,J2319.5+1226,BVH2007 238       ,VMF98 217                                             ,349.892,0.126,0.7632
1689,J2321.4-2312,RXCJ2321.4-2312   ,A2580                                                 ,350.351,0.089,1.4552
1690,J2321.5-4153,RXCJ2321.5-4153   ,A3998                                                 ,350.389,0.0894,2.5863
1691,J2321.8-6941,RXCJ2321.8-6941   ,A3995                                                 ,350.453,0.1846,4.0761
1692,J2321.8+1502,RXC J2321.8+1505  ,                                                      ,350.467,0.15,2.1055
1693,J2323.2+1811,BVH2007 239       ,                                                      ,350.812,0.154,1.1469
1694,J2323.6+0908,RXC J2323.6+0908  ,A2588                                                 ,350.913,0.1992,2.902
1697,J2324.9+1841,RXC J2325.0+1841  ,                                                      ,351.249,0.2018,1.6134
1699,J2325.6-5443,BVH2007 240       ,VMF98 218                                             ,351.413,0.102,0.4374
1701,J2326.7-5242,RXCJ2326.7-5242   ,                                                      ,351.695,0.1074,1.7895
1702,J2328.8+1453,RX J2328.8+1453   ,VMF98 219                                             ,352.208,0.497,1.3452
1703,J2330.6+4556,RXC J2330.6+4556  ,                                                      ,352.666,0.242,4.6104
1705,J2331.8-3747,RX J2331.8-3747   ,VMF98 220                                             ,352.967,0.28,0.9135
1706,J2333.8+2140,RXC J2333.8+2140  ,                                                      ,353.471,0.1022,1.536
1708,J2335.0+2722,A2622             ,A2622                                                 ,353.771,0.0613,1.336
1709,J2335.6+0217,WARP J2335.6+0217 ,                                                      ,353.905,0.3877,0.9785
1710,J2336.1+2037,A2625             ,A2625                                                 ,354.034,0.0601,0.9297
1711,J2336.2-3136,RXCJ2336.2-3136   ,S1136                                                 ,354.071,0.0643,1.2886
1713,J2336.6+2355,A2627             ,A2627                                                 ,354.174,0.1245,2.8284
1717,J2340.5+1029,RXC J2340.5+1029  ,A2639                                                 ,355.134,0.18,2.3115
1718,J2341.1+0018,RXC J2341.1+0018  ,                                                      ,355.276,0.11,1.4044
1721,J2344.4-2153,RXC J2344.4-2153  ,A2655                                                 ,356.12,0.1122,1.443
1723,J2346.7-1028,RXC J2346.7-1028  ,A2661                                                 ,356.677,0.1911,2.944
1724,J2347.4-0218,RXCJ2347.4-0218   ,HCG 97                                                ,356.852,0.0223,0.2447
1726,J2348.2-2849,RXC J2348.2-2849  ,A4041/S1151 dc                                        ,357.054,0.226,3.0488
1727,J2348.8-3117,BVH2007 241       ,"VMF98 221, A4043                                      ",357.223,0.184,1.0831
1728,J2350.1-0339,RXC J2350.1-0339  ,A2664                                                 ,357.538,0.1466,2.1495
1729,J2350.5+2929,RXC J2350.5+2929  ,MS 2348.0+2913                                        ,357.64,0.1498,2.8368
1734,J2355.1-1500,BVH2007 242       ,VMF98 223                                             ,358.798,0.0857,0.3897
1736,J2355.7+1138,A2678             ,A2678                                                 ,358.925,0.0729,1.0647
1737,J2355.8+3423,RXC J2355.8+3423  ,A2677                                                 ,358.957,0.148,2.1719
1740,J2359.4-3418,MS2356.9-3434     ,                                                      ,359.864,0.115,0.7568
