,NAME,RA,DEC,LAMBDA,Z_SPEC,dist
102,RMJ113025.0+054411.5,172.60423455872683,5.736522184291929,104.744865,-1.0,3.227961875505087
103,RMJ230214.1+064930.9,345.5588386997249,6.82523736197427,94.1274,-1.0,1.9108874544057501
104,RMJ092346.3+084058.8,140.94279660515411,8.683010182132776,64.89887,0.13090296,3.1332214721981075
105,RMJ081018.2+181518.1,122.57587657064808,18.25502857865156,122.242325,0.42180753,4.558164584414744
106,RMJ163800.9+375259.9,249.50361271456444,37.883301884969995,60.16983,-1.0,1.9381332226530708
107,RMJ165214.6+444923.9,253.06079442222804,44.823307410069006,84.54728,0.1755083,0.006087754087170846
108,RMJ012847.1-074200.6,22.1963310045994,-7.700178633455136,113.8826,-1.0,1.0336498061609856
109,RMJ082959.5+561944.5,127.49773905910564,56.32903732272889,98.841194,0.27079877,1.3835952485836724
110,RMJ153618.6+373837.7,234.07730570680098,37.64380939900804,70.69576,-1.0,4.494248312709288
111,RMJ100406.9+204910.4,151.02891642163655,20.819556577936183,93.273125,0.31243062,1.8714893246510529
112,RMJ084231.1+474918.6,130.6294969503746,47.821838282390594,104.973694,0.38171563,2.566845069041262
113,RMJ001556.0+334143.4,3.983213661520665,33.69539567056108,84.42524,-1.0,1.8584019869894426
114,RMJ095946.8+222409.7,149.94517078015093,22.402691947063076,82.76245,0.24470346,0.011246502333429295
115,RMJ023054.9+024719.6,37.72873933373029,2.7887739529826487,91.732376,-1.0,1.5653647431212934
116,RMJ085940.1+611938.0,134.91727692850088,61.32722082961345,78.03341,0.2537103,1.3407469824402782
117,RMJ235538.8+014555.0,358.91160430600587,1.765266357406053,83.3879,0.22588354,3.913544172601033
118,RMJ122214.9+402759.3,185.56188505956334,40.46646219873503,101.90744,0.31321198,2.1323990504910326
119,RMJ072729.3+422756.1,111.87200446930875,42.46558751444449,23.496874,-1.0,1.118008016521751
120,RMJ142921.1+230630.0,217.3379937664347,23.108329121597087,58.53755,0.13480453,1.600135339739122
121,RMJ151738.7+152123.6,229.41115782253542,15.35655517554192,86.499916,0.34496224,3.1104214623658204
122,RMJ215427.3+003834.1,328.61354965938415,0.6427939531341382,84.88289,0.22119986,0.6366086385262565
123,RMJ010101.5-095717.1,15.256445462994833,-9.954742782288525,63.449654,0.15044478,2.5172405107348497
