,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
166,PSZ2 G045.10-43.18,326.4720469,-10.0924216,0.0808,2.80474,J2145.9-1006,                    
167,PSZ2 G045.13+67.78,217.995839,29.5566539,0.2191,4.825367,            ,RMJ143201.0+293253.3
168,PSZ2 G045.20+15.63,274.0145937,17.7621651,-1.0,0.0,            ,                    
169,PSZ2 G045.32-38.46,322.3544372,-7.7089217,0.594,7.65051,J2129.4-0741,RMJ212926.1-074127.9
170,PSZ2 G045.47+17.80,272.032217,18.8742908,-1.0,0.0,            ,                    
171,PSZ2 G045.50-08.62,296.3535003,7.074746,-1.0,0.0,            ,                    
172,PSZ2 G045.50-37.21,321.3199099,-6.9781362,0.1153,2.807489,J2125.2-0657,RMJ212510.4-065748.8
173,PSZ2 G045.51+16.26,273.5348711,18.2928421,0.24,4.112292,            ,                    
174,PSZ2 G045.87+57.70,229.5873723,29.4695748,0.611,7.029533,            ,RMJ151820.6+292740.2
175,PSZ2 G045.96-26.94,312.5348829,-1.5905275,-1.0,0.0,            ,                    
176,PSZ2 G046.10+27.18,262.9273037,22.8751267,0.389,8.269269,J1731.6+2251,                    
177,PSZ2 G046.13+30.72,259.2810682,24.0645679,0.569,6.39454,            ,RMJ171705.5+240423.6
178,PSZ2 G046.26-70.47,352.44707,-21.169897,0.1431,3.017671,            ,                    
179,PSZ2 G046.36-06.83,295.1839418,8.6860484,-1.0,0.0,            ,                    
180,PSZ2 G046.39+11.71,278.2491827,17.1920439,-1.0,0.0,            ,                    
181,PSZ2 G046.47-49.44,332.5693139,-12.1777218,0.0846,4.38968,J2210.3-1210,                    
182,PSZ2 G046.88+56.48,231.0468928,29.9128747,0.1145,5.30745,J1524.1+2955,RMJ152407.4+295320.3
183,PSZ2 G047.48+37.37,252.5786973,27.0351194,0.24,4.194511,            ,                    
184,PSZ2 G047.53+08.55,281.7441112,16.8431644,-1.0,0.0,            ,                    
185,PSZ2 G047.71-59.47,342.1205959,-16.1084427,0.2472,4.610344,J2248.5-1606,                    
186,PSZ2 G047.73-60.15,342.7583654,-16.4001504,0.1221,3.364438,J2251.0-1624,                    
187,PSZ2 G048.08-46.63,330.5730593,-9.8894681,0.0809,2.110695,J2202.0-0949,                    
188,PSZ2 G048.09+27.18,263.5648682,24.5443469,0.73608,6.134852,            ,                    
189,PSZ2 G048.10+57.16,230.3160862,30.6278283,0.0777,3.589891,J1521.2+3038,RMJ152120.6+304015.4
190,PSZ2 G048.21-65.00,347.4397251,-18.3100163,0.42,5.59969,            ,                    
191,PSZ2 G048.24-51.59,335.0523387,-12.1975324,0.544,7.330888,            ,                    
192,PSZ2 G048.39-16.78,304.889445,5.4829465,-1.0,0.0,            ,                    
193,PSZ2 G048.47+34.86,255.535051,27.1466809,-1.0,0.0,            ,                    
194,PSZ2 G048.75+53.18,234.96694,30.6959593,0.098,2.528186,J1539.8+3043,RMJ153950.8+304304.0
195,PSZ2 G048.91-25.55,312.6791239,1.3960003,0.3334,5.441668,J2050.7+0123,                    
196,PSZ2 G049.09+25.23,265.9154753,24.7403204,0.141,3.682184,            ,                    
197,PSZ2 G049.18+65.05,221.1193584,31.233363,0.234,4.729747,J1444.3+3114,RMJ144431.8+311336.0
198,PSZ2 G049.22+30.87,260.0217248,26.6315826,0.1644,5.904146,J1720.1+2637,RMJ172003.3+263839.8
199,PSZ2 G049.32+44.37,245.1403524,29.8941366,0.0972,3.671208,J1620.5+2953,RMJ162031.1+295327.7
200,PSZ2 G049.69-49.46,333.6176062,-10.3524379,0.098,3.631749,J2214.5-1022,                    
201,PSZ2 G049.80-25.16,312.7712805,2.2844662,0.3211,6.392646,J2051.1+0216,                    
202,PSZ2 G050.06-27.32,314.7312174,1.3563281,0.334,6.597796,            ,                    
203,PSZ2 G050.40+31.17,260.0323183,27.6881846,0.164,4.331068,J1720.1+2740,RMJ172009.6+274008.1
204,PSZ2 G050.46+67.54,218.1680322,31.5878716,0.1313,2.923395,J1432.4+3137,RMJ143242.6+313407.1
205,PSZ2 G050.98-61.48,344.7463111,-15.6081384,-1.0,0.0,            ,                    
206,PSZ2 G051.40-61.15,344.5480214,-15.2724286,-1.0,0.0,            ,                    
207,PSZ2 G051.48-30.87,318.3988536,0.5196467,-1.0,0.0,            ,                    
208,PSZ2 G052.08+46.13,243.4439272,32.081382,-1.0,0.0,            ,                    
209,PSZ2 G052.35-31.98,319.7375192,0.5438782,0.264975,4.588255,            ,RMJ211849.1+003337.2
