,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
7604,7604,RMJ111806.5-030049.7,169.5271320729609,-3.0137964086895703,60.734269999999995,-1.0
7610,7610,RMJ142528.1+113426.6,216.36722814741958,11.574059990835,64.97515,-1.0
7622,7622,RMJ075853.5+001154.1,119.72278824618778,0.19835437758811675,50.727005,0.3927603
7628,7628,RMJ023740.4-042307.0,39.41832999955432,-4.3852736745570775,66.63794,-1.0
7633,7633,RMJ021110.5-042041.3,32.79383130109673,-4.344797190442918,54.72381,0.44326988
7639,7639,RMJ024119.1-063210.7,40.329433484609076,-6.536312197906121,55.974716,-1.0
7645,7645,RMJ160033.3+335416.2,240.13874480534042,33.90449665318717,72.28228,-1.0
7648,7648,RMJ074804.7+222941.8,117.01966446698825,22.494937666613573,54.28141,-1.0
7659,7659,RMJ015826.4+114937.1,29.609860533710734,11.826984975973525,69.505875,-1.0
7662,7662,RMJ113713.0+264743.7,174.3040281805971,26.795458810736562,53.71698000000001,0.4625616
7666,7666,RMJ080525.0+433455.2,121.35403550030605,43.582006205447634,64.41071,0.47625116
7674,7674,RMJ125410.2-030003.6,193.5425094369414,-3.0009903126046957,52.038933,0.41586366
7677,7677,RMJ093054.2+120606.6,142.72587796139263,12.1018269270361,59.193512,0.5005273
7691,7691,RMJ023223.0-084919.1,38.09563829274797,-8.821962527295957,66.80575,0.5443339
7695,7695,RMJ080210.1+303410.6,120.5421091445598,30.569619635135695,67.995636,-1.0
7697,7697,RMJ001534.9-072601.2,3.89560795727769,-7.433676995013803,61.008858,-1.0
7701,7701,RMJ085326.2+231806.0,133.35923724852574,23.30166345251404,53.10678000000001,-1.0
7704,7704,RMJ093728.6+063227.0,144.36929581189295,6.540820380374326,50.315117,0.45027029999999996
7712,7712,RMJ214104.9+023221.8,325.2703426890341,2.539388910596526,59.08673,-1.0
7715,7715,RMJ004643.6-015215.9,11.68159878611975,-1.8710706913813653,78.67412,-1.0
7722,7722,RMJ001043.7-042522.3,2.68195346239267,-4.422872201747513,57.057816,-1.0
7723,7723,RMJ001957.7+181856.1,4.990605267490197,18.31557987670164,69.505875,-1.0
7726,7726,RMJ135752.5+281855.7,209.46889790546925,28.315479343738406,66.30233,-1.0
7727,7727,RMJ111610.8+170743.8,169.04494210392778,17.128829944686462,57.835823,0.48756320000000003
7732,7732,RMJ002005.7+145710.1,5.0236390775745585,14.95279385792928,68.361755,-1.0
7735,7735,RMJ002822.3+120957.6,7.09293314762715,12.165994385986078,71.15341,-1.0
