,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
889,PSZ2 G194.98+54.12,151.7502218,32.0212319,0.374986,5.663106,            ,RMJ100655.7+315934.9
891,PSZ2 G195.24+29.34,123.6578888,27.3365605,0.284176,4.943095,            ,RMJ081435.5+271915.7
892,PSZ2 G195.39-29.08,69.3003417,0.7271491,0.2842,5.56195,J0437.1+0043,                    
893,PSZ2 G195.60+44.06,140.0993066,30.5037545,0.2952,6.130715,J0920.4+3030,RMJ092025.8+302938.7
894,PSZ2 G195.65-17.67,79.1680765,6.5066677,0.0284,1.660515,J0516.6+0626,                    
895,PSZ2 G195.75-24.32,73.5266638,2.962252,0.203,7.80038,J0454.1+0255,                    
897,PSZ2 G197.13+33.46,128.6142613,26.9731318,0.4561,5.866946,            ,RMJ083434.8+265656.3
898,PSZ2 G198.46+46.01,142.7117608,28.8476199,0.299462,5.55494,            ,RMJ093049.7+285108.0
899,PSZ2 G198.47-23.69,75.3424178,1.1553828,0.1248,3.62938,J0501.6+0110,                    
902,PSZ2 G198.90+18.16,113.4538978,20.3135281,0.3184,5.842621,            ,                    
903,PSZ2 G199.09-16.61,81.764643,4.2177,0.151,4.623632,J0527.2+0413,                    
904,PSZ2 G199.61+53.41,151.2011973,29.2311114,0.371173,5.538029,            ,                    
906,PSZ2 G199.75+46.59,143.5387273,28.0763834,0.553387,5.914315,            ,                    
907,PSZ2 G200.06+77.22,178.5581184,29.2430523,0.360512,4.621805,            ,RMJ115415.7+291524.1
908,PSZ2 G200.63-64.71,39.1085852,-19.3489484,0.0907,2.47962,J0236.6-1923,                    
909,PSZ2 G200.82+27.42,123.3944219,22.0688736,0.382015,6.093917,            ,RMJ081327.4+220331.4
910,PSZ2 G200.95-28.16,72.5834864,-3.0073371,0.22,5.302291,            ,                    
912,PSZ2 G201.50-27.31,73.5591887,-3.0190208,0.5377,8.304255,J0454.1-0300,                    
913,PSZ2 G201.54+30.62,126.8799468,22.5541527,0.3349,6.348716,            ,RMJ082728.4+223245.7
914,PSZ2 G202.50+19.17,115.8559427,17.5724772,0.101593,2.605886,            ,RMJ074323.1+173341.9
917,PSZ2 G203.18+20.84,117.727098,17.6433242,0.184015,3.520769,            ,RMJ075100.8+173753.8
918,PSZ2 G203.22+66.40,166.1721201,28.5491832,0.579565,5.887129,            ,RMJ110444.3+283541.3
921,PSZ2 G204.10+16.51,113.960214,15.0979159,0.122,3.705868,            ,                    
922,PSZ2 G204.24+14.51,112.1450221,14.1439774,0.3454,6.011415,            ,                    
923,PSZ2 G204.73+15.88,113.6337842,14.2883615,0.344,6.221509,            ,                    
925,PSZ2 G205.05-62.95,41.6076282,-20.5268737,0.31,7.635277,            ,                    
926,PSZ2 G205.48+18.70,116.5856321,14.7969974,0.446659,5.832057,            ,RMJ074629.7+144629.5
928,PSZ2 G205.65+18.10,116.0924004,14.4060082,0.445414,6.037405,            ,RMJ074420.6+142252.4
929,PSZ2 G205.90+73.76,174.5533748,27.9202955,0.4474,7.38794,            ,                    
930,PSZ2 G205.93-39.46,64.4063639,-11.895872,0.443,12.250381,J0417.5-1154,                    
931,PSZ2 G206.22+24.89,122.7686677,16.6287926,0.0925,2.274809,J0811.0+1644,RMJ081107.4+164304.6
932,PSZ2 G206.45+13.89,112.4970061,11.9390921,0.381,7.238685,            ,                    
935,PSZ2 G207.88+81.31,183.0900801,27.5530454,0.353,7.503772,J1212.3+2733,RMJ121218.5+273255.1
937,PSZ2 G208.60-26.00,77.6868641,-8.0201966,0.2195,7.74384,J0510.7-0801,                    
938,PSZ2 G208.61-74.39,30.0622756,-24.9067,0.72,6.253783,            ,                    
939,PSZ2 G208.80-30.67,73.5209548,-10.2262795,0.2475,7.255627,J0454.1-1014,                    
940,PSZ2 G209.17-80.38,23.5560372,-26.0929582,0.1597,3.166373,            ,                    
941,PSZ2 G209.53+43.32,142.0006111,20.5638075,0.192,3.817206,J0928.1+2032,RMJ092804.5+203145.1
942,PSZ2 G209.54-36.50,68.3765993,-13.2393288,0.0326,2.713885,J0433.6-1315,                    
943,PSZ2 G209.79+10.23,110.5963409,7.408583,0.677,10.727318,            ,                    
944,PSZ2 G210.01+50.85,149.8407733,22.4723478,0.319,4.956008,            ,                    
946,PSZ2 G210.08-60.96,44.4181156,-22.1627028,0.322,6.054954,J0257.6-2209,                    
947,PSZ2 G210.22+15.56,115.629786,9.3738593,0.062,2.031349,J0742.6+0922,                    
950,PSZ2 G210.64+17.09,117.2071764,9.668524,0.48,7.790246,            ,                    
953,PSZ2 G211.21+38.66,137.804475,17.8027433,0.5049,6.990734,J0911.1+1746,RMJ091111.5+174628.9
955,PSZ2 G212.25-53.20,52.7756503,-21.0275959,0.188,4.342922,J0331.1-2100,                    
956,PSZ2 G212.44+63.19,163.2183841,24.2294264,0.541977,5.659371,            ,RMJ105252.4+241530.0
957,PSZ2 G212.50-61.38,44.312336,-23.396688,0.5049,6.218674,J0257.1-2326,                    
958,PSZ2 G212.80+50.63,150.1653012,20.7206759,0.218671,4.016582,            ,                    
959,PSZ2 G212.82-84.04,19.5484983,-26.9587617,0.2275,5.679254,J0118.1-2658,                    
960,PSZ2 G212.93-54.04,52.0399033,-21.6608227,0.59,6.21502,J0328.6-2140,                    
961,PSZ2 G213.27+78.38,179.8639685,26.459324,0.316,4.815767,            ,                    
962,PSZ2 G213.30+50.99,150.6297042,20.5282712,0.3205,4.708587,            ,                    
963,PSZ2 G213.39+80.59,182.3234178,26.6591264,0.5586,7.034222,            ,RMJ120923.7+264046.7
965,PSZ2 G214.08+23.15,124.1581133,9.3693992,0.2557,5.692354,            ,RMJ081641.0+092332.5
966,PSZ2 G214.61-22.70,83.1017298,-11.5430777,0.154,5.394049,J0532.3-1131,                    
967,PSZ2 G215.19-49.65,57.0010954,-21.7350523,0.2399,5.993478,            ,                    
968,PSZ2 G215.24-26.10,80.175796,-13.4690123,0.336,6.242378,J0520.7-1328,                    
970,PSZ2 G215.51+06.58,109.8932947,0.7157416,0.2197,8.037874,J0719.5+0043,                    
971,PSZ2 G215.61+22.61,124.2862946,7.8691014,0.249188,5.194909,            ,RMJ081710.5+075344.3
974,PSZ2 G216.44-29.11,77.7507368,-15.6326192,0.47,6.168271,            ,                    
975,PSZ2 G216.62+47.00,147.4592105,17.1213909,0.3826,8.23875,J0949.8+1707,RMJ094951.8+170710.6
977,PSZ2 G216.80+09.25,112.8515815,0.7967378,0.273,5.166925,            ,                    
978,PSZ2 G217.09+40.15,141.0319985,14.1662599,0.1357,3.889829,J0924.0+1410,RMJ092415.4+140742.1
979,PSZ2 G217.40+10.88,114.5736991,1.0270643,0.189,5.339805,J0738.2+0101,                    
980,PSZ2 G218.54+13.26,117.2011166,1.137482,0.327,5.963966,            ,                    
982,PSZ2 G218.59+71.31,172.4647746,23.816835,0.1371,3.591041,J1129.8+2347,RMJ112946.4+234927.5
983,PSZ2 G218.81+35.51,137.2880648,10.9852137,0.1751,5.418206,J0909.1+1059,RMJ090912.2+105824.9
984,PSZ2 G219.12+44.49,145.749201,14.5406837,0.3403,5.225016,            ,RMJ094257.4+143028.4
985,PSZ2 G219.45-35.90,72.0470177,-20.4446196,0.072,2.472006,J0448.2-2028,                    
986,PSZ2 G219.88+22.83,126.2813007,4.4563674,0.232813,5.067926,            ,RMJ082500.2+042548.6
987,PSZ2 G219.89-34.39,73.6896098,-20.2804578,0.7,7.916411,            ,                    
988,PSZ2 G220.11+22.91,126.4477195,4.3036182,0.2248,4.874734,J0825.9+0415,RMJ082602.7+041939.5
989,PSZ2 G220.53-38.55,69.6461895,-22.1036571,0.067,2.394343,J0438.9-2206,                    
990,PSZ2 G220.74-58.91,47.8671577,-26.9359191,0.0685,1.917821,J0311.4-2653,                    
991,PSZ2 G220.83+42.20,144.1465744,12.452202,0.3104,5.750048,            ,RMJ093645.4+123018.2
993,PSZ2 G222.52+20.58,125.4495211,1.2301811,0.0822,2.288994,J0821.8+0112,RMJ082150.6+011149.5
994,PSZ2 G222.77+60.67,162.2073106,18.8474201,0.1603,3.499502,            ,                    
995,PSZ2 G222.78+12.84,118.7763915,-2.6983868,0.369,6.72489,            ,                    
996,PSZ2 G222.99-65.70,40.3544332,-28.6594313,0.2323,6.183716,J0241.3-2839,                    
997,PSZ2 G223.04-20.27,88.6791548,-17.738251,0.19,3.93046,            ,                    
