,MCXC,OName,AName,RAdeg,DEdeg,z,M500
518,J0819.9+5634,BVH2007 82        ,VMF98 50                                              ,124.978,56.577,0.26,1.5505
519,J0820.4+5645,BVH2007 83        ,VMF98 51                                              ,125.111,56.757,0.0429,0.1534
520,J0820.9-5704,RXC J0820.9-5704  ,                                                      ,125.248,-57.08,0.061,1.6896
521,J0821.0+0751,RXC J0821.0+0751  ,RXJ0820.9+0751                                        ,125.257,7.866,0.11,2.0211
522,J0821.8+0112,RXCJ0821.8+0112   ,A0653                                                 ,125.465,1.212,0.0822,1.4788
523,J0822.1+4705,RXC J0822.1+4705  ,A0646                                                 ,125.54,47.1,0.1303,3.6508
524,J0823.1+0421,ZwCl1665          ,ZwCl1665                                              ,125.798,4.356,0.0293,0.7315
525,J0824.1+0327,MS0821.5+0337     ,                                                      ,126.045,3.463,0.347,1.0693
526,J0825.5+4707,RXC J0825.5+4707  ,A0655                                                 ,126.376,47.13,0.1267,3.4839
527,J0825.7+8218,RXC J0825.7+8218  ,A0625                                                 ,126.436,82.31,0.2,3.0141
528,J0825.9+0415,ZwCl1693          ,ZwCl1693                                              ,126.497,4.263,0.2248,4.1177
529,J0826.1+2625,RX J0826.1+2625   ,VMF98 52                                              ,126.527,26.43,0.351,1.1817
530,J0826.4-2721,RXC J0826.4-2721  ,S610                                                  ,126.615,-27.355,0.041,1.3115
531,J0826.4+3125,RX J0826.4+3125   ,VMF98 53                                              ,126.624,31.421,0.209,0.672
532,J0826.7-2007,RXC J0826.7-2007  ,S611                                                  ,126.692,-20.133,0.0876,1.8725
533,J0828.0+4445,A667              ,A0667                                                 ,127.019,44.764,0.145,3.2709
534,J0828.6+3025,RXC J0828.6+3025  ,A0671                                                 ,127.162,30.428,0.0503,1.1524
535,J0830.9+6551,RXC J0830.9+6551  ,A0665                                                 ,127.743,65.85,0.1818,6.8668
536,J0837.4+1458,A689              ,A0689                                                 ,129.356,14.983,0.2793,10.0572
537,J0838.1+2506,BVH2007 NS 3      ,CGCG120-014                                           ,129.543,25.101,0.0286,0.3297
538,J0838.5+1948,BVH2007 84        ,                                                      ,129.63,19.805,0.123,0.9029
539,J0840.5+0543,RXC J0840.5+0543  ,                                                      ,130.13,5.733,0.2651,3.4434
540,J0841.1+6422,BVH2007 85        ,VMF98 56                                              ,130.281,64.378,0.343,2.0097
541,J0841.7+7046,RX J0841.7+7046   ,VMF98 57                                              ,130.431,70.781,0.235,0.6667
542,J0841.9-1729,RXC J0841.9-1729  ,A3411                                                 ,130.478,-17.485,0.1687,4.2779
543,J0842.8+5023,RX J0842.8+5023   ,VMF98 58                                              ,130.72,50.388,0.423,1.038
544,J0842.9+3621,RXC J0842.9+3621  ,A0697                                                 ,130.736,36.362,0.282,7.5349
545,J0842.9+2928,ZwCl1883          ,ZwCl1883                                              ,130.747,29.476,0.194,3.989
546,J0844.9+4258,RXC J0844.9+4258  ,                                                      ,131.236,42.982,0.0541,0.4696
547,J0847.1+3449,RX J0847.1+3449   ,VMF98 59                                              ,131.797,34.821,0.56,1.9683
548,J0847.7+7741,RXC J0847.7+7741  ,A0686                                                 ,131.941,77.692,0.26,3.7899
549,J0848.7+4456,RX J0848.7+4456   ,VMF98 60                                              ,132.198,44.939,0.574,0.958
550,J0848.9+4452,RX J0848.9+4452   ,VMF98 61                                              ,132.235,44.871,1.261,1.3868
551,J0849.1+3731,BVH2007 86        ,"VMF98 62, A0708                                       ",132.298,37.523,0.24,0.9165
552,J0850.2+3603,RXC J0850.2+3603  ,ZwCl1953                                              ,132.55,36.06,0.378,6.7616
553,J0851.9+1159,WARP J0851.9+1159 ,                                                      ,132.991,11.995,0.115,0.3899
554,J0852.2-0532,MS0849.7-0521     ,                                                      ,133.064,-5.549,0.192,1.375
555,J0852.5+1618,BVH2007 87        ,VMF98 63                                              ,133.137,16.302,0.098,0.5581
556,J0853.2+5759,BVH2007 88        ,VMF98 64                                              ,133.306,57.996,0.475,2.2169
557,J0856.1+3756,RXC J0856.1+3756  ,                                                      ,134.036,37.948,0.4107,6.1886
558,J0858.4+1357,RX J0858.4+1357   ,VMF98 66                                              ,134.604,13.954,0.488,1.202
559,J0900.0+3920,BVH2007 89        ,                                                      ,135.02,39.34,0.0951,0.5176
560,J0900.6+2054,ZwCl2089          ,ZwCl2089                                              ,135.158,20.916,0.2347,5.2335
561,J0901.1+6239,RXC J0901.1+6239  ,A0725                                                 ,135.298,62.656,0.09,1.1485
562,J0906.4+1020,A743              ,A0743                                                 ,136.614,10.345,0.1328,2.2885
563,J0907.2+3330,RX J0907.2+3330   ,VMF98 67                                              ,136.825,33.502,0.483,0.9595
564,J0907.3+1639,RXC J0907.3+1639  ,A0744                                                 ,136.843,16.657,0.073,0.9754
565,J0907.8+4936,RXC J0907.8+4936  ,VV 196                                                ,136.962,49.607,0.0352,0.3965
566,J0909.1+1059,RXC J0909.1+1059  ,A0750                                                 ,137.283,10.993,0.1751,4.7375
567,J0909.1-0939,RXCJ0909.1-0939   ,A0754                                                 ,137.285,-9.666,0.0542,4.4824
568,J0910.2+6012,BVH2007 91        ,A0742                                                 ,137.567,60.205,0.181,0.6527
569,J0910.6-1034,RXCJ0910.6-1034   ,A0761                                                 ,137.651,-10.581,0.0916,1.9936
570,J0910.6+4248,RX J0910.6+4248   ,VMF98 69                                              ,137.665,42.811,0.576,1.6177
571,J0911.1+1746,MACSJ0911.2+1746  ,                                                      ,137.797,17.776,0.5049,4.5937
572,J0912.4+1556,A763              ,A0763                                                 ,138.124,15.943,0.0851,2.2769
573,J0913.0+4742,RXC J0913.0+4742  ,A0757                                                 ,138.259,47.706,0.051,0.8739
