,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
17587,RMJ165119.9+415328.0,252.83303195709817,41.891099839365125,0.45064405,42.03167,1.4949931,0.45313552,0.0,25.743998,20.85873,18.96143,18.134844,17.778471,30.382435
17591,RMJ084556.0+251141.3,131.4832924993965,25.19481278914455,0.44712394,36.61615,1.3393307,0.45306712,0.0,22.223288,21.001364,19.161749,18.415405,18.053492,23.392641
17595,RMJ012655.3+272302.4,21.73059723946517,27.384006094186375,0.4160589,33.138016,1.3075398,-1.0,0.0,24.344997,20.99283,19.020267,18.29746,17.941753,20.542143
17596,RMJ011550.6+142228.0,18.960875580621,14.374447575555683,0.44578075,30.681967,1.3080207,0.45295683,0.0,22.969103,20.834229,18.909718,18.134241,17.60964,19.86749
17597,RMJ155733.6+211557.4,239.38991735297287,21.265947798669934,0.4227031,35.86866,1.320933,0.42377475,0.0,22.819035,20.883636,19.105253,18.413126,18.036144,25.24311
17602,RMJ115148.9+143517.9,177.9538829814323,14.588305999186483,0.44822156,35.62458,1.507929,-1.0,0.0,22.692822,21.69499,19.90509,19.131622,18.59196,21.685513
17603,RMJ155653.2+282034.3,239.22186717691136,28.34284904357913,0.51069283,38.217926,1.8080009,-1.0,0.0,22.571257,23.703701,20.039146,19.251627,18.857487,18.291225
17605,RMJ144628.4+271044.6,221.61830409770567,27.179059543771544,0.5077924,46.196274,1.8957076,-1.0,0.0,24.579132,20.961145,19.582294,18.898647,18.486925,26.542288
17608,RMJ165339.1+252849.2,253.41299198522623,25.480330338050205,0.46134093,41.40621,1.4992445,0.4706018,0.0,21.680271,20.558445,18.80123,17.972157,17.5413,25.576834
17612,RMJ105104.4+595308.1,162.76827488044307,59.88559673913818,0.46362746,39.362045,1.6872149,0.4476545,0.0,21.295551,20.15807,18.485046,17.681955,17.252773,22.248371
17615,RMJ155844.5+391059.5,239.6854109167125,39.183190943824734,0.5256805,49.887978,2.1700816,0.51993364,0.0,22.800058,22.371176,20.68143,19.77348,19.190468,24.545881
17616,RMJ233526.1+304148.6,353.85876615311287,30.69684266455588,0.4940771,50.025276,2.0462973,-1.0,0.0,22.797411,21.286016,19.528225,18.552652,18.11036,25.341469
17617,RMJ082436.1+023347.8,126.15059951563185,2.563271309260806,0.5065362,53.36611,1.9387186,0.51789516,0.0,22.480831,21.46929,19.800177,18.916464,18.416813,27.272497
17619,RMJ014330.5+272227.5,25.87698438506726,27.374302846785298,0.49170393,52.481323,2.134614,-1.0,0.0,26.97755,21.261572,19.123829,18.22753,17.730564,31.041042
17623,RMJ141614.3+234943.6,214.05950664178113,23.82876850101892,0.4603554,34.175354,1.4442186,0.45896727,0.0,23.358791,21.138756,19.341204,18.598782,18.190899,21.796492
17625,RMJ015345.4+122738.0,28.43900039686764,12.460544432878297,0.50211203,44.106346,2.1960614,0.48588812,0.0,22.309738,21.362923,19.57509,18.661491,18.218225,25.904865
17629,RMJ004936.1+300801.4,12.40026436684451,30.13371969256251,0.4469279,46.531883,1.9210241,-1.0,0.0,21.97731,20.388382,18.611378,17.839016,17.329662,24.653624
17630,RMJ020003.1+144529.2,30.013104198047643,14.758103934989784,0.47136796,35.28897,1.7454172,-1.0,0.0,22.676962,21.470467,19.759144,19.207203,18.427906,18.668434
17632,RMJ005915.1+044949.4,14.812778793414395,4.830381277619586,0.45437193,39.407814,1.455156,-1.0,0.0,23.700514,21.804394,20.033527,19.351591,19.030474,23.620787
